@relation 'eclipse-weka.filters.unsupervised.attribute.Remove-V-R10,19,83,142,157,247,260,262,265,477,552,726,770,807,827,888,1013,1165,1168,1268,1270,1307,1315,1343,1386,1516,1561,1587,1622,1761,1785,1801,2201,2217,2220,2226,2244,2319,2353,2363,2369,2403,2716,2789,2924,3526,3865,4158-4159,4277,5422,5859,5881,6130,6193,6213,6739,7516,7591,7670,7923,8554,8895,10811,12688,12826,13017,14002,14085,14120,14325,14585,14983,16660,16734,17791,19427,22482,22548,25904,26224,28950,34811,34934'

@attribute CountDeclClassMethod numeric
@attribute CountDeclMethodPublic numeric
@attribute s12 numeric
@attribute s71 numeric
@attribute s86 numeric
@attribute s176 numeric
@attribute s189 numeric
@attribute s191 numeric
@attribute s194 numeric
@attribute s406 numeric
@attribute s481 numeric
@attribute s655 numeric
@attribute s699 numeric
@attribute s736 numeric
@attribute s756 numeric
@attribute s817 numeric
@attribute s942 numeric
@attribute s1094 numeric
@attribute s1097 numeric
@attribute s1197 numeric
@attribute s1199 numeric
@attribute s1236 numeric
@attribute s1244 numeric
@attribute s1272 numeric
@attribute s1315 numeric
@attribute s1445 numeric
@attribute s1490 numeric
@attribute s1516 numeric
@attribute s1551 numeric
@attribute s1690 numeric
@attribute s1714 numeric
@attribute s1730 numeric
@attribute s2130 numeric
@attribute s2146 numeric
@attribute s2149 numeric
@attribute s2155 numeric
@attribute s2173 numeric
@attribute s2248 numeric
@attribute s2282 numeric
@attribute s2292 numeric
@attribute s2298 numeric
@attribute s2332 numeric
@attribute s2645 numeric
@attribute s2718 numeric
@attribute s2853 numeric
@attribute s3455 numeric
@attribute s3794 numeric
@attribute s4087 numeric
@attribute s4088 numeric
@attribute s4206 numeric
@attribute s5351 numeric
@attribute s5788 numeric
@attribute s5810 numeric
@attribute s6059 numeric
@attribute s6122 numeric
@attribute s6142 numeric
@attribute s6668 numeric
@attribute s7445 numeric
@attribute s7520 numeric
@attribute s7599 numeric
@attribute s7852 numeric
@attribute s8483 numeric
@attribute s8824 numeric
@attribute s10740 numeric
@attribute s12617 numeric
@attribute s12755 numeric
@attribute s12946 numeric
@attribute s13931 numeric
@attribute s14014 numeric
@attribute s14049 numeric
@attribute s14254 numeric
@attribute s14514 numeric
@attribute s14912 numeric
@attribute s16589 numeric
@attribute s16663 numeric
@attribute s17720 numeric
@attribute s19356 numeric
@attribute s22411 numeric
@attribute s22477 numeric
@attribute s25833 numeric
@attribute s26153 numeric
@attribute s28879 numeric
@attribute s34740 numeric
@attribute change_prone {false,true}

@data
0,43,90,10,9,3,9,29,141,0,0,0,0,15,84,4,1,0,5,0,0,0,0,1,0,8,0,0,23,70,0,1,0,0,0,0,0,0,0,0,20,0,3,0,0,3,1,0,0,16,1,1,1,1,2,0,0,0,1,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,true
2,14,24,1,0,3,0,15,36,2,0,0,4,19,15,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,35,13,2,3,3,4,31,54,0,2,1,0,17,23,0,0,2,0,0,5,0,0,0,0,6,0,1,1,30,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,false
0,14,4,1,2,3,1,8,15,0,0,1,0,12,25,0,0,2,0,0,5,0,0,0,0,6,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
11,73,280,14,91,25,0,60,175,184,13,0,2,107,222,0,1,1,0,0,444,0,0,0,21,2,0,1,0,0,11,0,4,0,16,0,0,0,0,0,204,0,0,0,0,1,0,0,0,0,0,1,3,0,0,0,0,2,7,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,true
0,8,2,3,1,2,11,5,10,0,1,0,0,5,17,0,1,0,0,0,0,0,0,0,0,4,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
6,16,12,2,3,5,2,47,161,7,11,0,0,47,90,0,1,0,0,0,333,1,0,0,2,88,0,0,0,0,8,0,1,0,3,0,0,0,0,0,125,0,0,0,0,1,0,0,0,0,5,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,true
3,553,2097,15,1103,6,11,63,423,141,12,0,0,181,571,0,1,0,5,0,63,0,0,0,70,57,0,4,6,221,6,13,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,15,1,3,3,0,0,0,0,14,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,4,2,4,0,0,1,true
87,82,126,54,112,31,49,33,97,69,2,8,7,20,31,25,14,15,0,0,272,0,3,7,4,3,2,0,3,0,1,0,0,0,5,0,0,2,2,1,38,0,0,9,0,1,0,0,2,0,0,8,0,0,1,0,0,0,14,0,0,0,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,true
0,13,29,1,0,1,1,5,17,0,0,0,0,7,30,0,0,0,0,0,2,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,2,18,0,0,0,21,20,2,0,0,0,107,10,15,6,0,4,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
10,113,192,29,55,11,20,74,538,5,5,1,3,67,283,7,13,2,20,0,5,20,0,2,0,39,0,0,0,373,3,4,0,0,0,0,0,0,0,0,22,0,3,0,1,0,8,0,0,0,0,2,3,6,2,22,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,false
18,26,67,11,2,14,20,37,147,0,1,0,0,53,114,9,0,0,4,0,2,0,0,0,3,32,0,0,10,0,44,0,0,0,1,0,0,3,0,0,1,0,4,2,0,0,2,0,1,0,0,0,0,0,0,0,0,1,49,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
7,33,5,2,3,0,1,20,60,0,2,0,0,15,34,0,0,0,0,0,2,1,0,0,0,17,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,93,42,7,1,56,6,123,296,11,0,0,3,42,366,0,0,0,0,0,50,0,0,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
3,26,52,11,0,8,1,2,31,10,0,0,0,8,41,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,17,43,5,0,9,4,11,11,36,7,0,0,13,25,0,0,6,0,0,0,0,0,0,0,1,0,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
10,48,292,16,64,8,18,258,276,86,21,0,2,191,704,0,1,2,3,0,96,0,0,0,18,44,0,7,36,221,62,3,1,0,0,0,0,0,0,6,12,10,2,0,0,0,2,0,0,0,0,0,1,0,0,36,0,1,0,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,true
0,103,68,2,0,10,5,43,129,4,1,0,24,15,92,0,0,0,0,0,8,0,1,0,2,2,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
0,2,6,1,0,7,0,2,3,0,0,0,0,0,8,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
7,26,97,12,4,36,2,59,141,12,9,0,1,42,221,0,0,5,0,0,45,0,2,1,3,1,0,0,5,7,10,1,1,8,2,0,0,3,0,0,6,0,1,3,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,false
1,12,4,1,5,1,0,6,17,0,0,0,0,13,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
1,42,40,12,2,10,1,15,53,0,1,0,4,22,112,0,1,0,0,0,14,0,0,0,0,15,0,0,0,12,3,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,false
0,1,138,1,0,1,0,1,0,0,1,0,0,0,9,0,0,1,0,0,243,0,1,0,0,0,0,0,0,1,256,0,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,false
3,98,31,8,5,0,2,61,244,1,1,0,4,72,47,1,0,3,43,0,1,0,0,0,1,5,0,0,7,96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,9,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,false
